NOM_POBLAD,hosp_in_10km
RIEGOPAMPA,0
YANAPAMPA,0
PUMARINRI,0
TONGLA GRANDE,0
ALPAYACU,0
TOCLAPATA,0
ISCOPAMPA,0
COLPA,0
RAGAS,0
PAGSAG,0
ULARAGRA,0
URA PORIS,0
MANI,0
SILCAY,0
PACAL,0
UTCAS,0
SHAMPAY,0
MALALIN,0
SISCAN,0
HUAMANACA,0
COCHAPAMPA,0
PUQUIOG,0
QUEROCHANCAY,0
HUARNIJIRCA,0
ASTOBAMBA,0
CUNAN,0
FLORIDA,0
CHUNCHUILCA,0
AMBAROCO,0
PUMACOCHA,0
HUMACAYAN,0
CRUZCANCHA,0
TABIN,0
SAQUICOCHA,0
YUPAGCANCHA,0
MACANACOTO,0
MITOALANA,0
HUAYLASTOCLANCA,0
COPA,0
PUQUIAN,0
TUPIAC,0
HUAYLLAPA,0
CHECCHI,0
RANGRAPATA,0
YANCO,0
MALVADO,0
CHIQUIAHUANCA,0
MANDAHUAS,0
DOS CORAZONES,0
HUANCAR ALTO,0
HUANCAR BAJO,0
ANTA,0
QUILCA ALTO,0
SHAURA,0
QUILCA BAJO,0
LA RINCONADA,0
SAUCE GRANDE,0
SAUCE CHICO,0
MONTE GRANDE,0
CUTATAMBO,0
LA VILLA,0
HUARICANGA,0
CAJATAMBO,0
LUZO,0
URAMAZA,0
RODEO,0
GUANACPATAY,0
PUCACALLE,0
VICONGA,0
CURQUISH,0
LAGAUYA,0
CASHAPAMPA,0
MARAY,0
RANCAS,0
HUAMANYA,0
ANTA,0
MARCUPATA,0
CRUZPAMPA,0
GACHIR,0
PARIANTARA,0
SHIMPUN,0
PIQUICORRAL,0
HUATIA,0
SARUICCOCHA,0
TAPUSH,0
OGOMINA,0
CALINCA,0
PUCAYAC,0
AGUA BLANCA,0
TINCO,0
QUEMADO CORRAL,0
URUROCCOCHA,0
CUTAMAJADA,0
SHAPIL,0
ISCARHUAY,0
TUCTUCUSHMAN,0
HUIYO,0
MACETA MAJADA,0
RANRAMAJADA,0
PUCA ALLPA,0
MATIRAQUI,0
SACLASHUAYI,0
AUQUIMARCA,0
PUCARANGRA,0
TRANCA,0
GARBANZO,0
YANACOCHA,0
BARRANCA,0
POTAO,0
VINTO BAJO,0
VINTO ALTO,0
PAMPAS,0
RANRANIRCA,0
RONCADOR,0
LAS HUERTAS,0
ARAYA GRANDE,0
MAYORCA,0
ARAYA CHICA,0
HORNILLOS,0
SANTA VICTORIA,0
GUAYABITO,0
CHIU CHIU,0
SANTA ELENA,0
VICTOR RAUL HAYA DE LA TORRE,0
LOS ARENALES,0
ROMPEQUINCHA,0
EL MOLINO,0
CENICERO,0
CALATRABA,0
PAYCUAN,0
LA HOYADA (LOS ANITOS),0
ESPONJA,0
SAN MARTIN,0
PAMPA VELARDE,0
SANTA MARGARITA,0
LOMAS DE BARRANCA,0
PARAMONGA,0
HOYA CHICA,0
HOYA GRANDE,0
NARANJAL,0
YUNTIN,0
CANCHAN,0
BALCON DE JUDAS,0
CHUSIN,0
SAN JUAN DE TUNAN,0
EMPEDRADA,0
HUATA,0
SIGUAL,0
